"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sat Oct 21 10:23:08 IST 2023","Sat Oct 21 10:23:10 IST 2023","1308","Default Suite","untitled3","com.thetestingacademy.RestAssured.CRUD.POST.RA_POST_NON_BDD_STYLE","com.thetestingacademy.RestAssured.CRUD.POST.RA_POST_NON_BDD_STYLE","postRequest2","postRequest2",""
"passed","Sun Oct 15 11:48:41 IST 2023","Sun Oct 15 11:48:41 IST 2023","1","All Test Suite","oct15","com.thetestingacademy.oct15.testngexample.TestNG001","com.thetestingacademy.oct15.testngexample.TestNG001","test2","test2",""
"failed","Sun Oct 15 12:26:22 IST 2023","Sun Oct 15 12:26:24 IST 2023","1778","Default Suite","untitled3","com.thetestingacademy.oct15.restassured.RA001","com.thetestingacademy.oct15.restassured.RA001","getRequest_Negative","getRequest_Negative",""
"passed","Sun Oct 15 12:13:05 IST 2023","Sun Oct 15 12:13:05 IST 2023","1","All Test Suite","oct15","com.thetestingacademy.oct15.testngexample.TestNG004","com.thetestingacademy.oct15.testngexample.TestNG004","test3","test3",""
"passed","Sun Oct 15 11:48:41 IST 2023","Sun Oct 15 11:48:41 IST 2023","10","All Test Suite","oct15","com.thetestingacademy.oct15.testngexample.TestNG001","com.thetestingacademy.oct15.testngexample.TestNG001","test1","test1",""
"passed","Sun Oct 15 10:58:13 IST 2023","Sun Oct 15 10:58:22 IST 2023","9161","Default Suite","untitled3","com.thetestingacademy.RATestNG","com.thetestingacademy.RATestNG","getRequest","getRequest",""
"passed","Sun Oct 15 11:50:31 IST 2023","Sun Oct 15 11:50:31 IST 2023","8","All Test Suite","oct15","com.thetestingacademy.oct15.testngexample.AllAnnotation","com.thetestingacademy.oct15.testngexample.AllAnnotation","demo5","demo5",""
"passed","Sun Oct 15 12:14:09 IST 2023","Sun Oct 15 12:14:09 IST 2023","12","All Test Suite","oct15","com.thetestingacademy.oct15.testngexample.TestNG004","com.thetestingacademy.oct15.testngexample.TestNG004","test1","test1",""
"passed","Sat Oct 21 10:49:16 IST 2023","Sat Oct 21 10:49:25 IST 2023","9279","All Test Suite","oct15","com.thetestingacademy.RestAssured.CRUD.PUT.PUT_REQUEST","com.thetestingacademy.RestAssured.CRUD.PUT.PUT_REQUEST","putRequest","putRequest",""
"failed","Sun Oct 15 12:01:43 IST 2023","Sun Oct 15 12:01:43 IST 2023","23","All Test Suite","oct15","com.thetestingacademy.oct15.testngexample.TestNG003","com.thetestingacademy.oct15.testngexample.TestNG003","test1","test1",""
"passed","Sun Oct 15 12:26:17 IST 2023","Sun Oct 15 12:26:22 IST 2023","5610","Default Suite","untitled3","com.thetestingacademy.oct15.restassured.RA001","com.thetestingacademy.oct15.restassured.RA001","getRequest_Positive","getRequest_Positive",""
"passed","Sun Oct 15 11:37:07 IST 2023","Sun Oct 15 11:37:07 IST 2023","9","Default Suite","untitled3","com.thetestingacademy.oct15.testngexample.TestNG001","com.thetestingacademy.oct15.testngexample.TestNG001","demo5","demo5",""
"passed","Sun Oct 15 12:37:22 IST 2023","Sun Oct 15 12:37:27 IST 2023","4380","Default Suite","untitled3","com.thetestingacademy.oct15.RA001","com.thetestingacademy.oct15.RA001","postRequest","postRequest",""
"passed","Sat Oct 21 10:23:04 IST 2023","Sat Oct 21 10:23:08 IST 2023","4088","Default Suite","untitled3","com.thetestingacademy.RestAssured.CRUD.POST.RA_POST_NON_BDD_STYLE","com.thetestingacademy.RestAssured.CRUD.POST.RA_POST_NON_BDD_STYLE","postRequest","postRequest",""
"passed","Sun Oct 15 12:14:09 IST 2023","Sun Oct 15 12:14:09 IST 2023","2","All Test Suite","oct15","com.thetestingacademy.oct15.testngexample.TestNG004","com.thetestingacademy.oct15.testngexample.TestNG004","test2","test2",""
